NARSTO Data Flag,NARSTO Data Qualification Flag Description,Process Point,Flag Category,Supersite Detailed Flag,Acronym Derivation,Detailed Flag Description,CCAQS Flag Type Code,CCAQS Flag Type,SORT CODE
V4,Valid value despite failing to meet some QC or statistical criteria,Field/Lab,QC,LBH,Likely Biased High,Likely Biased High,S,Suspect value,4
V4,Valid value despite failing to meet some QC or statistical criteria,Field/Lab,QC,LBL,Likely Biased Low,Likely Biased Low,S,Suspect value,4
V4,Valid value despite failing to meet some QC or statistical criteria,Field/Lab,QC,LCF,Linearity Check Failed ,"Linearity Check, Failed",S,Suspect value,4
V4,Valid value despite failing to meet some QC or statistical criteria,Field/Lab,QC,PCF,Performance Check Failed ,"Performance Check, Failed",S,Suspect value,4
V4,Valid value despite failing to meet some QC or statistical criteria,Field/Lab,QC,RMD,Replicate Measurements Disagree,Replicate Measurements Disagree,S,Suspect value,4
V4,Valid value despite failing to meet some QC or statistical criteria,Field/Lab,QC,RMF,Reference Material Failed,"Reference Material, Failed",S,Suspect value,4
V4,Valid value despite failing to meet some QC or statistical criteria,Field/Lab,QC,RMI,Reference Measurement Inconsistent ,"Reference Method Measurement, Inconsistent",S,Suspect value,4
V4,Valid value despite failing to meet some QC or statistical criteria,Field/Lab,QC,SRF,Standard Reference Failed ,"Standard Reference Material, Failed",S,Suspect value,4
V6,Valid value but qualified due to non-standard sampling conditions,Field/Lab,Sampling,PSO,Partial Sample Overloaded,"Partial Sample, Due to Overload",S,Suspect value,4
V6,Valid value but qualified due to non-standard sampling conditions ,Handling,Procedure,COC,Chain Of Custody,Chain-of-Custody Evidence Trail Broken or Lost,S,Suspect value,4
V6,Valid value but qualified due to non-standard sampling conditions,Handling,Procedure,DNL,Damaged/Not Lost,"Sample Container Damaged, No Sample Lost",S,Suspect value,4
V6,Valid value but qualified due to non-standard sampling conditions,Handling,Procedure,DSL,Damaged/Sample Lost,"Sample Container Damaged, Sample Lost",S,Suspect value,4
V6,Valid value but qualified due to non-standard sampling conditions,Handling,Procedure,EHT,Exceeded Holding Time,Exceeded Holding Time,S,Suspect value,4
V6,Valid value but qualified due to non-standard sampling conditions,Handling,Procedure,ISP,Improper Sample Preservation,Improper Sample Preservation,S,Suspect value,4
V6,Valid value but qualified due to non-standard sampling conditions ,Lab,Procedure,ILG,Illegible/Guess,"Illegible Paperwork or Mislabeled, Made Guess",S,Suspect value,4
V4,Valid value despite failing to meet some QC or statistical criteria,Lab,QC,LDF,Lab Duplicate Failed,"Lab Duplicate, Failed",S,Suspect value,4
M1,Missing value because no value is available,Data Analysis,Analysis,ANC,ANalysis Cancelled ,"No Result Reported, Analysis Canceled",M,Missing value,5
M1,Missing value because no value is available,Data Analysis,Analysis,NAL,Not Analyzed/Listed,Compound Not Analyzed but Compound Listed,M,Missing value,5
M1,Missing value because no value is available,Data Analysis,QC,NRI,Nothing Reported - Interference ,"No Result Reported, Interference",M,Missing value,5
M1,Missing value because no value is available ,Field,Instrument,OEL,Operator Error Loading,"Sample Loading, Operator Error",M,Missing value,5
M1,Missing value because no value is available ,Field,Instrument,SAM,SAmpler Malfunction,Sampler Malfunction,M,Missing value,5
M1,Missing value because no value is available,Field,Instrument,SAU,Site Access Unavailable ,"Site Access, Unavailable",M,Missing value,5
M1,Missing value because no value is available,Field,Instrument,SHP,SHipment Problems,Shipment Problems,M,Missing value,5
M1,Missing value because no value is available,Field,Instrument,SIS,Safety IssueS,Safety Issues,M,Missing value,5
M1,Missing value because no value is available,Field,Instrument,SNA,Sampler Not Activated,Sampler Not Activated,M,Missing value,5
M1,Missing value because no value is available,Field,Procedure,EER,Entry ErroR,"No Result Reported, Entry Error",M,Missing value,5
M1,Missing value because no value is available,Field,Procedure,FAC,Field ACcident,"No Result Reported, Field Accident",M,Missing value,5
M1,Missing value because no value is available,Field,Procedure,WDY,Wrong DaY,Wrong Day,M,Missing value,5
M1,Missing value because no value is available,Field/Lab,Instrument,INF,INstrument Failure,Instrument Failure,M,Missing value,5
M1,Missing value because no value is available,Field/Lab,Instrument,NSQ,Not Sufficient Quantity,"No Result Reported, Insufficient Quantity of Sample ",M,Missing value,5
M1,Missing value because no value is available,Field/Lab,Instrument,VAN,VANdalism,Vandalism,M,Missing value,5
M1,Missing value because no value is available,Field/Lab,Procedure,ILP,Illegible Label Paperwork,Illegible Label or Paperwork,M,Missing value,5
M1,Missing value because no value is available ,Field/Lab,Procedure,ZME,Zero ModE,Zero Mode,M,Missing value,5
M2,Missing value because invalidated by Data Originator,Data Analysis,QC,OSR,Off-Scale Reading,Off-Scale Reading,I,Invalid value,6
M2,Missing value because invalidated by Data Originator,Data Analysis,QC,VCH,Value Change High,"Value Change Too High, Above Physical Limit ",I,Invalid value,6
M2,Missing value because invalidated by Data Originator,Data Analysis,QC,VTH,Value Too High,"Value Too High, Above Physical Limit ",I,Invalid value,6
M2,Missing value because invalidated by Data Originator,Field,Instrument,EMM,Electrical or Mechnical Malfunction,"Problem, Electrical or Mechanical Malfunction",I,Invalid value,6
M2,Missing value because invalidated by Data Originator,Field,Instrument,IAS,Invalid Air Sample,"Invalid, Air Sample",I,Invalid value,6
M2,Missing value because invalidated by Data Originator,Field,Procedure,CSU,Contamination Source Unknown,"Known Contamination, Source Unknown",I,Invalid value,6
M2,Missing value because invalidated by Data Originator,Field,Procedure,WFR,Wrong FilteR,Wrong Filter,I,Invalid value,6
M2,Missing value because invalidated by Data Originator,Field,Sampling,NRE,Not RepresentativE,Not Representative,I,Invalid value,6
M2,Missing value because invalidated by Data Originator,Field/Lab,Calibration,CFB,Correction Factor Blank ,"Correction Factor, Blank ",I,Invalid value,6
M2,Missing value because invalidated by Data Originator,Field/Lab,QC,QSF,QC Samples Failed,"Multiple QC Samples, Failed",I,Invalid value,6















,,,,,






,,,,,
,,,,,
,,,,,
